team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2014,WPG,WPG,Team Level,other,82,0.5,0.52,0.5,13470,169.08,29.26,11.13,33.58,5.7,87.98,65.35,27.96,29.26,27.96,173,60,101,334,24,12,2,30,3,89,75,149,209,10,23,164,60,41,47,142,48,43,4.83,5.95,18.49,5,5,14,334,233,233,32,3.17,3.25,3.34,29.09,29.09,28.01,172.28,29.2,12.4,32.46,5.64,94.2,62.09,27.24,29.2,27.24,174,62,77,313,29,11,3,31,9,77,79,145,207,22,49,181,56,28,32,135,69,32,4.59,8.58,16.03,6,4,19,313,236,236,23,3.59,2.74,2.23,30.56,30.56,28.68
WPG,2014,WPG,WPG,Team Level,all,82,0.51,0.52,0.51,300586,2458.45,231.19,163.99,570.54,79.68,1351.03,1004.57,222.44,232.86,224.07,2439,962,1288,4689,223,177,43,534,81,1154,1232,2216,3178,406,920,2476,2409,536,772,2560,607,234,74,75.12,82.06,65,76,82,4746.91,3401,3439.91,585,36.44,39.02,41.06,226.57,228.09,222.85,2344.18,224.72,158.28,540.58,76.22,1287.99,952.2,216.38,223.88,215.54,2350,890,1120,4360,204,158,27,600,78,1009,1191,2146,3036,362,836,2589,1931,484,855,2419,612,209,70.97,76.18,77.57,63,62,79,4308.17,3240,3206.55,635,35.74,34.7,36.33,224.12,223.14,216.99
WPG,2014,WPG,WPG,Team Level,5on5,82,0.52,0.53,0.52,232109,1862.64,148.79,117.83,453.3,60.03,1026.28,767.75,144,150.47,145.63,1837,737,959,3533,145,133,34,428,66,851,951,1692,2429,355,809,1803,2198,423,610,2005,441,128,58.27,54.59,35.93,49,55,41,3590.91,2574,2612.91,484,24.29,27.53,28.79,144.3,145.8,143.61,1722.04,135.62,108.63,418.12,55.43,942.68,716.51,132.45,134.79,131.61,1709,668,815,3192,123,97,14,464,54,724,915,1586,2254,311,721,1872,1746,375,674,1860,409,108,55.38,50.72,29.53,48,47,28,3140.17,2377,2343.55,527,22.42,21.18,21.72,136.33,135.35,133.69
WPG,2014,WPG,WPG,Team Level,4on5,82,0.12,0.14,0.16,29590,76.84,7.42,3.59,10.67,2.19,22.83,57.3,7.4,7.42,7.4,80,24,18,122,9,2,0,10,3,14,66,71,95,25,53,260,108,49,65,71,27,6,2.25,3.61,1.55,2,4,3,122,104,104,61,0.83,0.25,0.25,8,8,7.98,390.4,54.65,34.71,82.25,13.4,234.46,123.54,51.5,54.65,51.5,402,141,213,756,50,46,10,91,14,194,148,352,493,16,37,316,51,21,82,363,116,64,9.55,14.56,30.54,8,11,31,756,543,543,20,9.14,10.01,11.62,52.16,52.16,49.56
WPG,2014,WPG,WPG,Team Level,5on4,82,0.9,0.88,0.85,25417,349.88,45.71,31.43,73,11.75,213.94,114.16,43.09,45.71,43.09,349,141,210,700,45,30,7,66,9,200,140,304,445,16,35,249,43,23,50,342,91,57,8.65,10.96,26.1,9,12,24,700,490,490,8,8.16,8,8.69,45.18,45.18,43.24,59.47,5.25,2.56,7.73,1.75,16.65,50.06,5.18,5.25,5.18,65,19,15,99,2,4,0,14,1,14,49,63,82,13,29,220,78,60,67,61,18,5,1.45,2.32,1.48,1,0,1,99,84,84,65,0.6,0.77,0.77,5.08,5.08,5.06
BOS,2014,BOS,BOS,Team Level,other,82,0.56,0.55,0.53,9851,159.05,24.33,10.1,30.88,5.17,79.12,68.4,23.41,24.33,23.41,162,56,71,289,26,6,2,37,6,66,77,136,192,8,19,151,46,29,22,133,54,31,4.51,6.93,12.89,4,9,13,289,218,218,5,2.73,2.25,2.25,24.81,24.81,24.05,137.27,19.02,9.36,27.08,4.56,77.81,55.16,18.12,19.02,18.12,133,60,46,239,17,7,2,30,7,59,73,116,176,7,14,117,49,27,31,138,27,28,4.47,3.1,11.45,5,1,11,239,193,193,13,2.63,2.03,2.62,19.04,19.04,18.49
BOS,2014,BOS,BOS,Team Level,all,82,0.51,0.52,0.51,301519,2533.39,211.89,166.28,588.72,84.11,1413.99,1085.03,204.72,212.34,205.17,2546,1004,1267,4817,209,130,33,667,106,1119,1319,2337,3341,300,688,2686,2112,487,604,2736,630,184,72.96,75.94,62.99,73,65,71,4829.72,3550,3562.03,268,36.42,31.99,35.49,212.82,213.34,208.95,2432.13,203.93,157.98,568.15,79.15,1341.86,1021.93,197.03,203.93,197.02,2449,924,1047,4420,201,141,32,636,84,1067,1244,2248,3172,269,629,2323,2296,574,785,2610,581,182,71.87,69.45,62.62,62,76,63,4406.74,3373,3366.65,385,34.59,31.54,33.9,204.62,204.47,200.53
BOS,2014,BOS,BOS,Team Level,5on5,82,0.51,0.52,0.51,247469,1957.26,147.5,123.07,473.37,65.18,1090.78,840.11,143.67,147.95,144.13,1977,763,1003,3743,140,95,24,530,81,853,1041,1837,2600,267,619,2046,1936,399,507,2142,492,106,58.44,58.91,30.14,55,49,36,3755.72,2740,2752.03,235,25.28,22.3,24.56,148.23,148.75,146.56,1926.39,140.85,118.38,468.91,62.64,1052.24,821.98,137.34,140.85,137.34,1944,721,831,3496,138,107,25,527,65,819,1009,1806,2527,244,579,1806,2137,489,647,2124,438,103,58.8,52.25,29.8,50,60,28,3482.74,2665,2658.64,335,24.28,21.76,23.53,141.6,141.44,139.36
BOS,2014,BOS,BOS,Team Level,4on5,82,0.12,0.15,0.18,23083,64.75,5.64,2.6,8.37,1.82,18.49,60.08,5.63,5.64,5.63,76,21,8,105,7,2,0,15,4,14,55,69,90,12,24,237,89,49,24,78,11,8,1.69,1.35,2.6,3,0,4,105,97,97,22,0.63,0.14,0.14,6.12,6.12,6.11,326.96,40.2,28.4,66.88,10.69,200.64,108.18,37.73,40.2,37.73,322,133,159,614,43,26,4,73,10,178,125,279,412,11,22,214,39,20,74,305,105,45,7.78,12.76,19.65,7,14,22,614,455,455,7,7.25,7.37,7.37,40.09,40.09,38.78
BOS,2014,BOS,BOS,Team Level,5on4,82,0.9,0.91,0.89,21116,352.34,34.42,30.52,76.09,11.94,225.59,116.44,32.01,34.42,32.01,331,164,185,680,36,27,7,85,15,186,146,295,459,13,26,252,41,10,51,383,73,39,8.31,8.75,17.36,11,7,18,680,495,495,6,7.77,7.3,8.54,33.65,33.65,32.23,41.5,3.85,1.84,5.27,1.25,11.17,36.61,3.84,3.85,3.84,50,10,11,71,3,1,1,6,2,11,37,47,57,7,14,186,71,38,33,43,11,6,0.81,1.33,1.71,0,1,2,71,60,60,30,0.43,0.38,0.38,3.9,3.9,3.9
BUF,2014,BUF,BUF,Team Level,other,82,0.34,0.42,0.42,9595,120.48,15.05,8.69,24.99,4.3,67.44,45.54,14.41,15.05,14.41,130,36,51,217,9,6,3,32,5,68,46,121,157,10,21,124,42,18,16,120,30,16,4.14,3.76,7.14,2,1,6,217,166,166,9,2.44,1.34,2.7,14.79,14.79,14.39,162.58,29.04,10.61,30.88,5.27,87.53,65.66,28.01,29.04,28.01,163,66,72,301,25,10,3,33,4,72,85,138,204,6,15,133,35,15,20,134,57,38,4.65,7.05,17.34,2,7,16,301,229,229,14,2.97,3.73,3.73,28.28,28.28,27.46
BUF,2014,BUF,BUF,Team Level,all,82,0.4,0.38,0.39,299399,1911.38,172.09,132.69,427.44,61.63,1054.46,791.7,165.69,171.03,164.64,1984,656,806,3446,153,127,28,453,71,783,1053,1831,2487,318,739,2195,2204,379,514,1931,553,156,52.18,66.81,53.09,38,61,54,3388.63,2640,2607.22,330,29.43,28.34,30.1,171.41,170.16,166.89,2913.54,261.35,200.06,655.77,94.41,1664.31,1220.11,251.16,264.24,254.01,2921,1175,1533,5629,269,160,41,683,119,1315,1550,2652,3827,291,691,2689,1610,399,512,3076,800,220,90.69,94.05,76.61,92,96,81,5739.26,4096,4162.85,249,43.65,38.37,40.23,264.77,267.66,260.57
BUF,2014,BUF,BUF,Team Level,5on5,82,0.4,0.38,0.39,243354,1484.82,118.95,96.94,342.6,47.37,811.2,632.95,115.71,117.89,114.67,1536,514,644,2694,110,92,21,357,57,589,845,1426,1940,276,651,1696,2043,321,431,1522,435,93,41.45,52.18,25.32,33,49,28,2636.63,2050,2017.21,282,20.05,20.72,21.08,117.92,116.66,115.23,2306.1,178.48,152.8,538.25,74.55,1315.99,976.94,173.34,181.38,176.19,2308,929,1250,4487,178,118,30,563,92,1036,1250,2130,3059,259,621,2064,1486,327,402,2509,606,122,75.05,70.75,32.68,73,70,35,4597.26,3237,3303.85,192,31.39,25.1,27.15,182.73,185.61,182.77
BUF,2014,BUF,BUF,Team Level,4on5,82,0.07,0.07,0.08,24572,35.73,3.56,1.77,4.47,0.97,10.24,26.99,3.5,3.56,3.5,40,8,8,56,6,1,0,4,1,8,28,34,42,14,31,185,90,30,27,34,7,7,0.85,0.8,1.92,0,3,3,56,48,48,26,0.41,0.26,0.26,3.7,3.7,3.69,380.68,47.49,33.61,78.41,12.77,242.39,128.33,43.51,47.49,43.51,381,162,190,733,58,30,7,78,20,189,168,323,485,19,41,285,21,14,51,377,115,51,9.63,13.58,24.28,14,17,27,733,543,543,9,8.59,8.95,8.76,47.32,47.32,43.9
BUF,2014,BUF,BUF,Team Level,5on4,82,0.84,0.82,0.81,21878,270.36,34.53,25.28,55.38,9,165.59,86.23,32.06,34.53,32.06,278,98,103,479,28,28,4,60,8,118,134,250,348,18,36,190,29,10,40,255,81,40,5.75,10.07,18.72,3,8,17,479,376,376,13,6.53,6.01,6.05,35.01,35.01,33.57,64.18,6.34,3.04,8.23,1.83,18.38,49.19,6.29,6.34,6.29,69,18,21,108,8,2,1,9,3,18,47,61,79,7,14,207,68,43,39,56,22,9,1.37,2.66,2.3,3,2,3,108,87,87,34,0.7,0.59,0.59,6.45,6.45,6.44
FLA,2014,FLA,FLA,Team Level,other,82,0.46,0.47,0.46,12798,138.75,21.88,8.92,26.63,4.58,72.1,56.9,21.07,21.88,21.07,139,52,69,260,16,9,2,28,5,61,72,123,175,11,24,164,69,27,26,122,42,27,4.03,5.08,12.77,1,5,10,260,191,191,10,2.39,3.13,3.38,20.89,20.89,20.49,157.93,25.21,11,30.28,5.42,88.14,61.96,24.07,25.21,24.07,171,51,75,297,23,8,4,39,3,71,78,148,199,6,12,183,69,37,21,135,60,27,4.8,7.75,12.66,6,3,14,297,222,222,9,3.15,1.78,2.17,26.19,26.19,25.31
FLA,2014,FLA,FLA,Team Level,all,82,0.51,0.51,0.5,301369,2455.16,214.48,161.63,555.08,79.09,1359.2,1027.52,205.46,214.5,205.54,2517,880,1058,4455,198,165,38,636,88,1015,1296,2319,3199,316,685,2505,2268,487,472,2578,629,190,72.48,75.43,66.57,70,72,56,4445.04,3397,3393.41,246,35.31,38.17,40.29,209.5,209.67,204.88,2363.57,207.7,160.22,541.52,79.49,1337.72,1004.42,200.7,208.93,201.88,2424,908,1001,4333,213,159,35,607,101,1038,1214,2211,3119,313,679,2650,2268,447,548,2539,607,186,70.58,72.85,64.27,79,68,66,4353.36,3332,3348.09,318,35.38,35.42,37.26,205.76,206.69,202.8
FLA,2014,FLA,FLA,Team Level,5on5,82,0.52,0.51,0.51,242845,1943.69,146.52,122.91,456.78,62.63,1072.47,828.67,142.02,146.54,142.09,1989,701,847,3537,145,124,29,525,74,791,1032,1844,2545,265,572,1878,2089,407,384,2111,471,108,59.67,56.55,30.3,60,58,27,3527.04,2690,2686.41,216,25.29,25.47,26.82,144.99,145.15,143.33,1835.64,137.42,117.72,437.82,61.53,1035.27,797.31,133.77,138.65,134.95,1860,728,778,3366,143,113,20,477,78,807,970,1717,2445,274,592,2026,2059,361,453,2046,436,106,56.61,51.44,29.36,68,48,27,3386.36,2588,2604.09,285,24.18,23.71,25.1,136.43,137.36,135.42
FLA,2014,FLA,FLA,Team Level,4on5,82,0.09,0.1,0.11,22434,40.23,3.91,1.73,4.77,1.11,10.84,31.66,3.8,3.91,3.8,43,11,12,66,0,2,0,4,1,9,38,43,54,18,36,218,70,37,18,40,7,7,0.97,0.94,2.01,0,0,0,66,54,54,15,0.41,0.54,0.54,3.77,3.77,3.77,319.36,39.15,28.9,66.65,10.99,199.55,107.76,37.19,39.15,37.19,339,114,136,589,41,34,10,77,18,154,129,298,412,23,49,233,38,11,51,317,92,44,8.14,11.23,19.78,5,14,22,589,453,453,4,7.44,9.04,9.09,37.5,37.5,36.45
FLA,2014,FLA,FLA,Team Level,5on4,82,0.88,0.88,0.87,23292,332.48,42.17,28.07,66.89,10.77,203.8,110.29,38.57,42.17,38.57,346,116,130,592,37,30,7,79,8,154,154,309,425,22,53,245,40,16,44,305,109,48,7.83,12.86,21.49,9,9,19,592,462,462,5,7.24,9.03,9.56,39.85,39.85,37.27,50.65,5.92,2.61,6.77,1.54,14.76,37.39,5.69,5.92,5.69,54,15,12,81,6,4,1,14,2,6,37,48,63,10,26,208,102,38,23,41,19,9,1.03,2.43,2.46,0,3,3,81,69,69,20,0.61,0.89,0.89,5.64,5.64,5.63
NSH,2014,NSH,NSH,Team Level,other,82,0.42,0.51,0.53,10630,168.34,20.62,11.69,34.71,5.37,94.08,67.53,19.56,20.62,19.56,160,74,62,296,19,10,2,35,3,98,69,141,215,9,16,146,34,27,26,155,60,19,5.06,6.88,8.68,5,6,8,296,234,234,14,3.23,2.31,2.31,21.54,21.54,20.67,146.94,28.41,9.64,27.35,4.8,78.13,57.67,27.2,28.41,27.2,148,58,84,290,29,11,6,30,6,58,72,119,177,13,26,153,35,22,16,125,39,42,4.16,4.66,19.6,5,4,20,290,206,206,10,2.62,4.03,4.37,26.66,26.66,26.27
NSH,2014,NSH,NSH,Team Level,all,82,0.53,0.53,0.53,300607,2607.24,213.45,176.34,604.83,82.98,1477,1076.46,205.93,214.4,206.86,2614,1018,1250,4882,226,159,34,654,94,1213,1286,2388,3406,284,623,2562,1691,529,660,2860,588,184,79.57,70.39,63.5,77,76,73,4902.03,3632,3643.27,374,38.72,35.43,36.52,215.58,216.36,211.71,2298.09,193.1,153.06,529.72,74.09,1289.25,965.79,187.07,192.95,186.95,2318,887,1180,4385,202,145,33,636,83,1011,1128,2116,3003,303,662,2677,1685,609,670,2530,501,174,68.45,60.18,64.47,72,58,72,4375.78,3205,3203.69,401,33.42,31.92,33.04,193.48,193.53,190.17
NSH,2014,NSH,NSH,Team Level,5on5,82,0.55,0.53,0.53,241719,2042.41,150.72,131.96,488.74,65.05,1148.27,856.28,146.43,151.66,147.35,2055,786,1017,3858,166,115,25,530,76,921,1033,1889,2675,253,557,1991,1577,436,506,2272,455,114,63.82,54.99,31.91,64,65,37,3878.03,2841,2852.27,316,27.11,24.02,25.54,152.28,153.05,150.47,1810.61,123.4,113.67,434.11,57.8,1015.02,777.99,120.73,123.25,120.59,1819,703,926,3448,127,98,19,527,68,805,897,1692,2395,266,582,2070,1560,521,554,2068,367,87,55.74,43.87,23.8,57,44,26,3438.78,2522,2520.69,346,23.24,19.41,19.69,126.96,127.01,125.68
NSH,2014,NSH,NSH,Team Level,4on5,82,0.1,0.11,0.13,22448,45.45,4.43,2.03,5.96,1.41,12.86,34.32,4.36,4.43,4.36,47,14,11,72,3,3,0,7,1,10,37,44,58,9,18,196,55,49,38,38,18,5,0.87,2.12,1.45,0,2,1,72,61,61,35,0.47,0.55,0.55,4.35,4.35,4.34,300.48,38.44,28.06,62.86,10.11,183.91,95.61,36.33,38.44,36.33,304,115,150,569,42,35,8,71,7,144,120,262,377,17,34,203,22,12,64,292,83,44,7.41,10.18,20.85,9,8,25,569,419,419,10,7.16,8.34,8.84,36.76,36.76,35.15
NSH,2014,NSH,NSH,Team Level,5on4,82,0.93,0.89,0.9,25810,351.05,37.69,30.67,75.43,11.16,221.8,118.32,35.59,37.69,35.59,352,144,160,656,38,31,7,82,14,184,147,314,458,13,32,229,25,17,90,395,55,46,9.82,6.4,21.47,8,3,27,656,496,496,9,7.93,8.55,8.13,37.42,37.42,36.23,40.06,2.84,1.69,5.4,1.38,12.18,34.51,2.82,2.84,2.82,47,11,20,78,4,1,0,8,2,4,39,43,54,7,20,251,68,54,36,45,12,1,1.14,1.48,0.22,1,2,1,78,58,58,35,0.39,0.14,0.14,3.09,3.09,3.08
S.J,2014,S.J,S.J,Team Level,other,82,0.54,0.52,0.53,12939,153.58,32.61,10.08,28.48,5,81.29,55.54,29.12,32.61,29.12,155,58,69,282,30,6,1,24,8,73,72,125,183,8,16,130,44,25,34,129,36,48,4.38,4.53,23.69,2,6,22,282,213,213,10,2.89,1.19,1.53,33.97,33.97,30.36,138.15,27.71,9.39,25.68,4.5,72.95,51.77,27.01,27.71,27.01,144,48,71,263,23,7,2,32,6,58,66,121,169,8,18,140,52,22,37,112,47,33,4.08,5.79,17.84,2,3,18,263,192,192,15,2.64,1.66,2.07,28.29,28.29,27.68
S.J,2014,S.J,S.J,Team Level,all,82,0.52,0.52,0.52,298895,2653.72,253.73,187.51,606.15,88.56,1479.17,1075.87,241.8,254.59,242.6,2592,1099,1406,5097,224,204,35,641,120,1239,1263,2368,3467,291,668,2698,1930,624,942,2708,728,255,76.91,88.94,87.88,60,76,88,5112.09,3691,3706.99,445,41.81,41.85,44.1,251.45,252.15,243.41,2469.37,236.12,170.02,563.82,80,1352.63,1018.41,225.57,236.81,226.2,2436,985,1292,4713,226,191,48,611,78,1084,1231,2210,3195,322,728,2498,2087,557,894,2561,614,246,74.41,75.32,86.39,60,77,89,4704.94,3421,3412.94,476,37.4,44.36,46.93,226.59,226.78,220.83
S.J,2014,S.J,S.J,Team Level,5on5,82,0.51,0.51,0.51,241386,2028.41,167.45,135.62,483.78,67.61,1133.64,844.89,161.85,168.29,162.65,1967,866,1119,3952,140,143,22,511,89,960,990,1827,2693,267,611,2097,1808,518,768,2137,553,143,61.72,67.71,38.01,54,56,30,3967.09,2833,2848.99,389,28.08,28.82,31.04,164.49,165.19,162.08,1959.92,161.39,129.45,467.37,63.9,1077.08,820.82,155.96,162.07,156.59,1930,790,1035,3755,155,150,37,503,64,857,991,1775,2565,291,658,1957,1925,453,726,2099,476,145,61.47,58.67,41.24,50,60,45,3746.94,2720,2711.93,403,26.75,33.05,34.79,153.35,153.55,151.35
S.J,2014,S.J,S.J,Team Level,4on5,82,0.13,0.14,0.17,20691,62.89,5.77,2.89,8.54,1.8,17.68,49.32,5.65,5.77,5.65,68,18,9,95,4,4,0,13,3,17,45,64,82,6,18,194,53,55,36,63,15,8,1.71,2,2.06,2,0,2,95,86,86,33,0.68,0.91,0.91,5.54,5.54,5.53,303.17,39.98,27.81,61.89,9.6,183.45,95.27,35.78,39.98,35.78,291,127,165,583,44,32,9,68,4,152,118,247,374,14,34,193,31,19,79,289,72,57,7.43,8.49,24.06,8,12,24,583,418,418,12,7.22,9.13,9.54,37.65,37.65,34.63
S.J,2014,S.J,S.J,Team Level,5on4,82,0.87,0.87,0.86,23879,408.83,47.91,38.92,85.35,14.15,246.56,126.12,45.18,47.91,45.18,402,157,209,768,50,51,12,93,20,189,156,352,509,10,23,277,25,26,104,379,124,56,9.09,14.7,24.12,2,14,34,768,559,559,13,10.16,10.94,10.61,47.45,47.45,45.43,68.12,7.05,3.37,8.88,2,19.15,50.55,6.82,7.05,6.82,71,20,21,112,4,2,0,8,4,17,56,67,87,9,18,208,79,63,52,61,19,11,1.43,2.36,3.25,0,2,2,112,91,91,46,0.78,0.53,0.53,7.3,7.3,7.16
CHI,2014,CHI,CHI,Team Level,other,82,0.65,0.63,0.62,9846,165.4,31.23,10.95,30.44,5.81,87.6,62.96,30,31.23,30,166,63,73,302,26,10,5,33,8,69,83,140,203,6,12,130,32,27,14,141,49,39,5,5.89,20.34,4,4,18,302,229,229,7,3.02,4.77,5.76,28.49,28.49,27.62,99.02,16.78,6.13,19.57,3.17,50.85,42.49,16.42,16.78,16.42,106,33,40,179,16,5,1,22,4,41,51,90,123,8,16,124,44,13,18,89,29,21,3.04,3.31,10.44,2,2,12,179,139,139,11,1.63,1.44,1.44,16.97,16.97,16.8
CHI,2014,CHI,CHI,Team Level,all,82,0.53,0.54,0.53,299651,2675.08,240.42,185.58,595.3,87.51,1507.07,1097.12,232.58,241.52,233.65,2777,936,1396,5109,220,141,38,706,100,1143,1403,2557,3493,251,550,2553,1357,593,634,2812,700,201,81.4,83.77,75.26,69,66,85,5133.13,3713,3728.8,421,40.45,37.27,43.19,237.69,238.55,234,2368.08,213.87,165.04,532.85,78.22,1311.3,974.71,206.3,213.91,206.31,2477,799,1040,4316,186,168,40,520,78,1002,1323,2291,3090,303,661,2352,2317,551,567,2438,661,177,72.81,79.64,61.43,47,70,69,4298.29,3276,3268.59,375,36.01,39.36,43.49,206.39,206.42,202.92
CHI,2014,CHI,CHI,Team Level,5on5,82,0.51,0.54,0.53,243332,2099.42,164.13,139.26,484,67.46,1174.13,878.02,159.7,165.23,160.76,2188,719,1107,4014,150,100,24,585,79,873,1120,2038,2757,223,491,1996,1274,497,530,2250,546,111,66.37,64.98,32.77,58,54,38,4038.13,2907,2922.8,369,28.64,23.04,27.35,165.42,166.28,163.96,1900.72,159.14,126.95,439.75,62.64,1044.68,787.84,153.82,159.17,153.83,1989,632,855,3476,130,133,34,427,62,805,1065,1859,2491,270,593,1850,2150,469,453,1975,530,116,59.43,63.81,35.89,38,53,39,3458.29,2621,2613.59,314,26.25,31.95,35.73,149.66,149.69,147.55
